Case,PosErr_mm,OriErr_deg,Iterations,Converged,NumCFSol,CFBestPosErr_mm,CFBestOriErr_deg
1,5.43252380199564e-08,0,30,1,3,1.93539173007398e-12,1.20741826972573e-06
2,4.14120029554971e-06,0,28,1,8,2.31887826431858e-12,0
3,5.37926424889454e-06,0,27,1,4,1.42648284946034e-12,0
4,1.40507000484797e-06,0,33,1,8,1.44235554768132e-12,0
5,1.13936245695334e-06,0,25,1,4,1.8718044114782e-12,0
6,6.59469904984185e-07,0,24,1,2,2.8572070012984e-12,0
7,5.18489071868433e-07,0,34,1,3,1.59529683029896e-12,0
8,2.481558801494e-06,0,34,1,4,6.85752339072665e-12,0
9,1.16273196694082e-06,1.20741826972573e-06,27,1,2,1.6364024549835e-12,0
10,1.55991252621025e-06,1.70754729250319e-06,25,1,2,2.38245686888516e-12,1.20741826972573e-06
11,3.265866120941e-07,0,35,1,1,1.80880674108297e-12,0
12,1.72931508801424e-06,1.20741826972573e-06,26,1,2,1.38807365244558e-12,0
13,9.51025927358351e-06,0,25,1,4,1.43176807926625e-12,0
14,1.30303559662248e-07,0,25,1,8,2.07183799078265e-12,0
15,1.04936368188013e-06,1.20741826972573e-06,26,1,2,2.79385065306058e-12,1.70754729250319e-06
16,3.22404237253793e-06,0,24,1,2,2.48939044387473e-12,1.20741826972573e-06
17,1.43458030877464e-06,0,26,1,4,1.36087260040122e-12,0
18,5.87386058123045e-07,0,24,1,1,1.59467799212534e-12,0
19,1.43300031406447e-06,1.70754729250319e-06,29,1,2,2.31659314296556e-12,0
20,1.65529716500757e-06,0,29,1,1,3.02943716212148e-12,1.20741826972573e-06
21,2.32904078379518e-06,0,31,1,2,1.78609137418699e-12,1.20741826972573e-06
22,4.80653301590836e-09,0,214,1,5,1.9585665686403e-12,1.20741826972573e-06
23,1.30077673110214e-07,0,27,1,8,2.15637780959843e-12,0
24,1.07695831207205e-06,0,25,1,4,1.74110938217968e-12,0
25,1.87091094589819e-10,0,46,1,4,2.5790385425938e-12,0
26,5.91796528492305e-06,0,29,1,1,2.14749798262876e-12,0
27,5.95723913149572e-06,0,26,1,4,1.73244602378633e-12,0
28,1.03756621080906e-05,0,24,1,2,1.41854141784595e-12,1.20741826972573e-06
29,2.59424420826983e-06,0,36,1,5,2.21227782492996e-12,0
30,1.51105659291197e-05,1.20741826972573e-06,22,1,2,2.57687202059142e-12,0
31,1.6642676679863e-06,0,27,1,2,2.28586336402893e-12,0
32,2.5195891260281e-06,1.20741826972573e-06,25,1,4,2.07374274509213e-12,0
33,2.11469687538621e-06,0,25,1,2,2.48020568549724e-12,0
34,2.02657464869024e-07,0,30,1,4,2.54596896467304e-13,0
35,3.13121214784531e-06,0,30,1,3,2.05184864413302e-12,0
36,7.26556008966852e-06,0,29,1,4,2.41010470981489e-12,0
37,1.98915800198995e-06,0,26,1,4,1.73533399120857e-12,0
38,1.35278299686989e-05,0,35,1,3,1.36237543858313e-12,0
39,1.85031085158891e-05,0,26,1,4,2.3168841017617e-12,0
40,1.26124622204344e-06,0,24,1,2,3.5342341811654e-12,0
41,2.51736162454574e-06,1.20741826972573e-06,28,1,8,2.38956002207923e-12,0
42,1.89469213880771e-07,0,33,1,4,2.02615701994091e-12,0
43,3.52449488262655e-07,0,28,1,2,2.72584624024283e-12,0
44,1.50599677851187e-06,0,28,1,4,1.88293505852498e-12,0
45,3.29298389209109e-06,0,28,1,4,1.83315872213134e-12,0
46,7.29088752759141e-07,1.70754729250319e-06,28,1,5,2.239962653956e-12,1.70754729250319e-06
47,8.49750544163333e-07,1.70754729250319e-06,31,1,2,2.6836929071767e-12,0
48,1.61194460852991e-07,0,30,1,3,2.19887679564961e-12,0
