Case,PosErr_mm,OriErr_deg,Iterations,Converged,NumCFSol,CFBestPosErr_mm,CFBestOriErr_deg,MaxLimitViol_deg,qTrue1,qTrue2,qTrue3,qTrue4,qTrue5,qTrue6,qInit1,qInit2,qInit3,qInit4,qInit5,qInit6,qSol1,qSol2,qSol3,qSol4,qSol5,qSol6
1,1.24295429987729e-06,0,31,1,2,3.36303785265852e-13,0,0,0,-1.05815663793792,0.871597137201357,0.779889616155935,1.84765390405796,-0.136493928837586,0,-0.986023965091941,0.908671424163471,0.838013852723723,1.72592675071876,-0.189259733969393,2.64091737583277e-08,-1.05815663566787,0.871597133135449,0.779889609827987,1.84765388445741,-0.136493911906163
2,7.25958329962929e-06,0,25,1,1,6.96726971775901e-06,0,0,0,1.43956474459447,-0.341743452461981,0.151160468338763,-0.952833774349668,-0.446915197246975,0,1.4024766156348,-0.224170870634465,0.077306601631906,-1.00011700406253,-0.337542642352631,6.95169879523212e-09,1.43956473449306,-0.341743416938657,0.151160471867707,-0.952833810619834,-0.446915175099666
3,8.50647258452999e-07,0,25,1,2,1.71102487079032e-12,0,0,0,-1.75345128149847,0.348954903118003,0.577712502690796,-1.9206964784976,0.723002185183485,0,-1.86452819434443,0.389914813933398,0.580137341002334,-1.92596299428844,0.842271217423559,5.70546065216673e-10,-1.75345128263395,0.348954902571634,0.577712501671721,-1.92069648292147,0.723002181493358
4,1.43591207141519e-07,0,34,1,0,NaN,NaN,0,0,-1.02010748933869,0.570439840621466,-0.630109394747392,-0.871842110870529,0.573075970041028,0,-1.08700359407106,0.559466733244421,-0.694775759166632,-0.903432581288,0.60044417137805,4.10696012723555e-08,-1.02010748981386,0.570439841955917,-0.630109375642675,-0.871842087337642,0.57307592055859
5,6.04534299012018e-07,0,21,1,1,2.39808193823466e-05,0,0,0,-1.74202962066898,0.500160220179978,-0.138216092435575,-1.41530873132738,-1.17651695204864,0,-1.83319165922786,0.611685314116334,-0.0910647096107231,-1.48398946497384,-1.15848283510094,1.68501534101608e-09,-1.74202962198599,0.500160222641544,-0.138216096991573,-1.41530872994749,-1.1765169502522
6,7.04055332365027e-06,1.70754729250319e-06,27,1,2,1.34364383931559e-12,1.70754729250319e-06,0,0,-1.72259795045431,0.913069893130357,-0.452558634454134,-1.38839178374185,-0.906269677220571,0,-1.66709009907723,1.04002648447674,-0.354439757744515,-1.38864267030992,-1.0092144340634,-2.15743083144952e-08,-1.72259798097144,0.913069913239213,-0.452558624227742,-1.38839177860577,-0.906269659507452
7,5.53636318813873e-07,0,27,1,2,2.83174891479642e-12,0,0,0,-0.544619130999,-0.734878198118209,0.574674250098042,-1.42167229674649,-0.772973704267428,0,-0.527884231075668,-0.614729366245215,0.5624323361629,-1.51881084566964,-0.704757246009478,-3.12105057931436e-10,-0.544619127359387,-0.734878204956639,0.574674251663713,-1.42167229433377,-0.772973713790237
8,9.6114355737394e-06,0,22,1,2,1.7680977025406e-12,0,0,0,-1.30736185610424,-0.169014457125099,-0.595630045066938,1.82674565254811,-1.04670215898945,0,-1.26301143236788,-0.271298193006007,-0.703425016215741,1.94886512938607,-1.12673489020934,-3.31471331234228e-08,-1.3073618462569,-0.169014468432811,-0.595630027068328,1.82674564529036,-1.04670216262602
9,1.23217790656683e-06,0,419,1,1,3.79590174219421e-11,0,0,0,-0.929773107732002,0.403521406837772,-0.141477051658368,0.769104039487726,1.35787441783088,0,-0.999509536946098,0.494018139079686,-0.21367805801144,0.818559593063594,1.26715952592269,1.54473044667893e-08,-0.929773110059196,0.403521405796532,-0.141477082033731,0.769104041480117,-4.92531086007154
10,2.22997907921925e-06,0,29,1,4,4.34145424471671e-06,0,0,0,0.0182592456142632,-1.01509968096673,-1.0565566612578,1.34650200113751,-0.316090354557008,0,0.0971077413446684,-0.907728256697711,-0.970273479524157,1.40254040253094,-0.420975657475389,7.28080389548961e-09,0.0182592742859681,-1.01509973308053,-1.05655665669305,1.34650202212396,-0.316090377894641
11,2.93650368340948e-06,0,26,1,1,6.15670369547023e-06,0,0,0,0.314389797812598,1.07586196031696,-0.10454750863052,-1.9162798356851,1.44918543034212,0,0.364821852157194,1.03247872623908,-0.188269969108889,-1.954771,1.4660765,-3.65363185104661e-10,0.314389791908978,1.07586195325934,-0.10454751324806,-1.91627981857258,1.44918543253258
12,1.24531916776683e-06,0,25,1,2,4.43256122778518e-06,1.20741826972573e-06,0,0,0.458221666244583,1.17080577015828,-0.897691212285747,-1.48715010997785,-0.316113471167888,0,0.574713763109873,1.08267951327094,-0.908500043570945,-1.5450434968659,-0.393448990951707,5.00013727921049e-09,0.458221660851067,1.1708057718487,-0.897691196784699,-1.48715011188344,-0.316113469500986
